Overlay,HeritagePlace,PaintControls,InternalControls,TreeControls,FenceControls,IncludedInVHR,Included,VHR,Prohibited,AboriginalHeritagePlace,Status,Expiry
HO227,"6 BOSISTO STREET RICHMOND House Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO227,HO227
HO228,"649 BRIDGE ROAD RICHMOND Former Cable Tram Depot   Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO228,HO228
HO229,Yarra River BRIDGE ROAD RICHMOND Hawthorn Bridge,-,-,-,-,Yes Ref No H50,Yes,H50,No,No,HO229,HO229
HO230,"333 BRIDGE ROAD RICHMOND Richmond Police Station Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO230,HO230
HO231,"30 BRIGHTON STREET RICHMOND House Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO231,HO231
HO232,"164-166 BRIGHTON STREET RICHMOND Maroura & Korein Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,Yes,No,No,,No,No,HO232,HO232
HO233,"90 BURNLEY STREET RICHMOND Congregational Church Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO233,HO233
HO234,"144 BURNLEY STREET RICHMOND Enfield Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,Yes,No,No,,No,No,HO234,HO234
HO235,"271-273 BURNLEY STREET RICHMOND Burnley Uniting (Presbyterian) Church Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO235,HO235
HO236,"290-300 BURNLEY STREET RICHMOND St Bartholemew’s Church Complex Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO236,HO236
HO237,"336 BURNLEY STREET RICHMOND House Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,No,No,No,,No,No,HO237,HO237
HO239,Yarra River CHURCH STREET RICHMOND AND CREMORNE Church Street Bridge,-,-,-,-,Yes Ref No H1917,Yes,H1917,No,No,HO239,HO239
HO240,560 CHURCH STREET CREMORNE Former Bryant and May Industrial Complex,-,-,-,-,Yes Ref No H626,Yes,H626,No,No,HO240,HO240
HO241,293 CHURCH STREET RICHMOND Former Lalor House,-,-,-,-,Yes Ref No H211,Yes,H211,No,No,HO241,HO241
HO242,350-362 CHURCH STREET RICHMOND St Stephen’s Anglican Church The heritage place includes Vicarage,-,-,-,-,Yes Ref No H586,Yes,H586,Yes,No,HO242,HO242
HO243,13 COPPIN STREET RICHMOND PS,"YesHeritage Place  House 
Incorporated plan: 
Incorporated Plan under the provisions 
of clause 43.01 Heritage Overlay, 
Planning permit exemptions, July 201479 COPPIN STREET RICHMOND 
Former Griffiths Boot Factory 
Incorporated plan: 
Incorporated Plan under the provisions 
of clause 43.01 Heritage Overlay, 
Planning permit exemptions, July 2014234 COPPIN STREET RICHMOND 
House 
Incorporated plan: 
Incorporated Plan under the provisions 
of clause 43.01 Heritage Overlay, 
Planning permit exemptions, July 2014",NoHeritage PlaceApply?  YesYes,No,No,"No External 
Paint 
Controls 
Apply?Internal 
Alteration 
Controls 
Apply? Apply?Heritage Act 2017 ?  Clause 43.01-4    NoNo NoNo",No,,No,No,HO243,HO243
HO246,"HO246       Yes - -     es Ref No H1634 o Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",55-67 CREMORNE STREET   No,-   No,-,-,-          NoNo,,,-,-,HO246,HO246
HO248,"9-15 CROWN STREET RICHMOND Queens Terrace Incorporated plan: Incorporated Plan under the provisions of clause 43.01 Heritage Overlay, Planning permit exemptions, July 2014",Yes,No,No,Yes,No,No,,No,No,HO248,HO248
