,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,"Floor 1/429-431 Bridge Rd, Richmond VIC 3121, Australia",EjhGbG9vciAxLCA0MjktNDMxIEJyaWRnZSBSZCwgUmljaG1vbmQgVklDIDMxMjEsIEF1c3RyYWxpYSIjGiEKFgoUChIJ145b2fdC1moROi-dxhwAbjoSB0Zsb29yIDE,Floor 1 429-431 Bridge Rd Richmond  VIC  3121     ,-37.8189527,145.0049336,1,3121,OK,subpremise
0,ROOFTOP,"Floor 1/453 Church St, Richmond VIC 3121, Australia",EjRGbG9vciAxLCA0NTMgQ2h1cmNoIFN0LCBSaWNobW9uZCBWSUMgMzEyMSwgQXVzdHJhbGlhIiMaIQoWChQKEgmzMi5ZjELWahFiiZY_bvpJmhIHRmxvb3IgMQ,Floor 1 453 Church St Richmond  VIC  3121         ,-37.8269308,144.9979964,1,3121,OK,subpremise
0,ROOFTOP,"Floor 1/454A Church St, Cremorne VIC 3121, Australia",EjVGbG9vciAxLCA0NTRBIENodXJjaCBTdCwgQ3JlbW9ybmUgVklDIDMxMjEsIEF1c3RyYWxpYSIjGiEKFgoUChIJw-5i74xC1moRNqy5mrhx-k4SB0Zsb29yIDE,Floor 1 454A Church St Cremorne  VIC  3121        ,-37.8258871,144.9976808,1,3121,OK,subpremise
0,ROOFTOP,"Floor 1/458-460 Bridge Rd, Richmond VIC 3121, Australia",EjhGbG9vciAxLCA0NTgtNDYwIEJyaWRnZSBSZCwgUmljaG1vbmQgVklDIDMxMjEsIEF1c3RyYWxpYSIjGiEKFgoUChIJI7nTQ1hC1moRYWdl3iD0KowSB0Zsb29yIDE,Floor 1 458-460 Bridge Rd Richmond  VIC  3121     ,-37.819561,145.006814,1,3121,OK,subpremise
0,ROOFTOP,"Floor 1/474-484 Victoria St, Richmond VIC 3121, Australia",EjpGbG9vciAxLCA0NzQtNDg0IFZpY3RvcmlhIFN0LCBSaWNobW9uZCBWSUMgMzEyMSwgQXVzdHJhbGlhIiMaIQoWChQKEglBlb-pVULWahGDpwX5lG90phIHRmxvb3IgMQ,Floor 1 474-484 Victoria St Richmond  VIC  3121   ,-37.8114004,145.0075678,1,3121,OK,subpremise
0,ROOFTOP,"Floor 1/486 Swan St, Richmond VIC 3121, Australia",EjJGbG9vciAxLCA0ODYgU3dhbiBTdCwgUmljaG1vbmQgVklDIDMxMjEsIEF1c3RyYWxpYSIjGiEKFgoUChIJO0fnMF5C1moROEyZGfQ2Y2gSB0Zsb29yIDE,Floor 1 486 Swan St Richmond  VIC  3121           ,-37.8272897,145.0084811,1,3121,OK,subpremise
0,ROOFTOP,"Floor 1/24 Tanner St, Richmond VIC 3121, Australia",EjNGbG9vciAxLCAyNCBUYW5uZXIgU3QsIFJpY2htb25kIFZJQyAzMTIxLCBBdXN0cmFsaWEiIxohChYKFAoSCatCmR6TQtZqESLEs_Hp2B8zEgdGbG9vciAx,Floor 1 5/24 Tanner St Richmond  VIC  3121        ,-37.8235627,144.9913312,2,3121,OK,subpremise
0,ROOFTOP,"Unit 1/511 Church St, Richmond VIC 3121, Australia",ChIJj7eGn45C1moRugkz-tCpwAw,Floor 1 511-521 Church St Richmond  VIC  3121     ,-37.8293464,144.9983457,1,3121,OK,street_address
0,ROOFTOP,"Floor 1/518-524 Bridge Rd, Richmond VIC 3121, Australia",EjhGbG9vciAxLCA1MTgtNTI0IEJyaWRnZSBSZCwgUmljaG1vbmQgVklDIDMxMjEsIEF1c3RyYWxpYSIjGiEKFgoUChIJbSL46VlC1moRvoF1AUVj3_4SB0Zsb29yIDE,Floor 1 518-524 Bridge Rd Richmond  VIC  3121     ,-37.8198325,145.0094227,1,3121,OK,subpremise
0,ROOFTOP,"Floor 1/523-533 Victoria St, Abbotsford VIC 3067, Australia",EjxGbG9vciAxLCA1MjMtNTMzIFZpY3RvcmlhIFN0LCBBYmJvdHNmb3JkIFZJQyAzMDY3LCBBdXN0cmFsaWEiIxohChYKFAoSCd3gSG3_QtZqEUTRSPALBF7sEgdGbG9vciAx,Floor 1 523-533 Victoria St Abbotsford  VIC  3067 ,-37.810725,145.003905,1,3067,OK,subpremise
