RegisterAddress,RegularAddress,Comments
221/9 MCKEAN STREET FITZROY NORTH,9/221 MCKEAN STREET FITZROY NORTH,Swap Flat and Number
221/11 MCKEAN STREET FITZROY NORTH,11/221 MCKEAN STREET FITZROY NORTH,Swap Flat and Number
1/6 ABBOT STREET ABBOTSFORD,1/6 ABBOT STREET ABBOTSFORD,
17/1 MOORE STREET BURNLEY,1/17 MOORE STREET RICHMOND, Swap Suburb and Flat with Number
17/2 MOORE STREET BURNLEY,2/17 MOORE STREET RICHMOND, Swap Suburb and Flat with Number
17/3 MOORE STREET BURNLEY,3/17 MOORE STREET RICHMOND, Swap Suburb and Flat with Number
198 part PRINCES STREET CARLTON NORTH,198 PRINCES STREET CARLTON NORTH,
198/2 PIGDON STREET CARLTON NORTH, 2/198 PIGDON STREET CARLTON NORTH, 
118/3 ROSENEATH STREET CLIFTON HILL, 3/118 ROSENEATH STREET CLIFTON HILL,
118/4 ROSENEATH STREET CLIFTON HILL, 4/118 ROSENEATH STREET CLIFTON HILL,
118/5 ROSENEATH STREET CLIFTON HILL, 5/118 ROSENEATH STREET CLIFTON HILL,
148/2 BARKLY STREET FITZROY NORTH, 2/148A BARKLY STREET FITZROY NORTH,
148/3 BARKLY STREET FITZROY NORTH, 3/148A BARKLY STREET FITZROY NORTH,
148/7 BARKLY STREET FITZROY NORTH, 7/148A BARKLY STREET FITZROY NORTH,
127/1 VERE STREET ABBOTSFORD,1/127 VERE STREET ABBOTSFORD,
127/2 VERE STREET ABBOTSFORD,2/127 VERE STREET ABBOTSFORD,
307 CANNING STREET CARLTON NORTH,60 LEE STREET CARLTON NORTH, Published Address of Lee Street PS
307A CANNING STREET CARLTON NORTH, 307 CANNING STREET, Gas Lamp CNR OGRADY STREET CARLTON NORTH
65 QUEENS PARADE CLIFTON HILL,61-67 QUEENS PARADE CLIFTON HILL, Church does not have its own VICMAP address
81/1 RUSHALL CRESCENT FITZROY NORTH, 3/81 RUSHALL CRESCENT FITZROY NORTH, 
81/2 RUSHALL CRESCENT FITZROY NORTH, 3/81 RUSHALL CRESCENT FITZROY NORTH, Stop it matching 2 Rushall Crescent (Unknown)
81/3 RUSHALL CRESCENT FITZROY NORTH, 3/81 RUSHALL CRESCENT FITZROY NORTH, Stop it matching 3 Rushall Crescent (Unknown)
